MISO,31.67,28.02,0.00,TPTP20R,TP20R
MOSI,37.77,23.74,0.00,TPTP20R,TP20R
PFMF.050.1,153.35,43.75,180.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,127.28,48.82,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,76.42,27.33,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,66.60,17.46,90.00,SI1308EDL-T1-GE3,SOT65P210X110-3N
R1,19.18,45.38,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1-PINH,152.13,6.48,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1-PINH1,89.08,63.17,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,8.35,101.48,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,120.63,47.71,270.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,112.91,42.68,90.00,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,67.98,13.16,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,154.13,6.48,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,93.32,61.68,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,156.87,52.31,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,149.93,50.47,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,117.70,50.47,180.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,70.40,16.23,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,65.62,14.21,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,34.04,51.63,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,40.46,27.33,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,47.77,27.33,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,44.08,27.33,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,71.17,27.37,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.00,109.01,180.00,BUTTON_CUSYOMV1,MYBUTTON
RX,13.87,72.84,0.00,TPTP20R,TP20R
R_BOOT,67.72,108.82,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITATOR,93.06,51.66,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,27.62,108.58,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,73.13,27.31,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,53.29,108.48,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SCK,31.67,23.86,0.00,TPTP20R,TP20R
SENSOR2,154.93,12.15,90.00,BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,65.11,12.14,0.00,,SJ
TX,11.02,72.92,0.00,TPTP20R,TP20R
U1,39.78,59.96,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.00,58.20,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,85.79,56.27,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,131.69,53.03,0.00,MAX17048G+T10,SON50P200X200X80-9N
VBAT,130.77,63.86,0.00,TPTP20R,TP20R
VBUS,134.87,63.88,0.00,TPTP20R,TP20R
